Date,Open,High,Low,Close,Adj Close,Volume
2021-06-14,50.459999,50.520000,49.950001,50.180000,50.180000,117500
2021-06-15,49.990002,50.320000,49.910000,50.250000,50.250000,92700
2021-06-16,50.680000,51.020000,50.180000,50.180000,50.180000,115200
2021-06-17,50.549999,50.590000,49.669998,49.759998,49.759998,154100
2021-06-18,49.759998,49.919998,49.080002,49.130001,49.130001,165300
2021-06-21,48.830002,49.450001,48.330002,49.360001,49.360001,241900
2021-06-22,49.419998,49.419998,48.860001,49.189999,49.189999,176500
2021-06-23,49.020000,49.060001,48.660000,48.830002,48.830002,80600
2021-06-24,49.430000,50.189999,49.430000,50.139999,50.139999,156000
2021-06-25,50.639999,51.110001,50.639999,50.810001,50.810001,585600
2021-06-28,50.650002,50.730000,49.869999,50.470001,50.470001,231100
2021-06-29,50.040001,50.200001,49.580002,49.689999,49.689999,110000
2021-06-30,49.349998,49.509998,49.040001,49.299999,49.299999,141400
2021-07-01,48.630001,48.910000,48.529999,48.900002,48.900002,291300
2021-07-02,48.430000,48.430000,48.020000,48.320000,48.320000,128700
2021-07-06,47.709999,47.709999,47.049999,47.240002,47.240002,225800
2021-07-07,46.709999,46.720001,46.220001,46.610001,46.610001,266300
2021-07-08,45.560001,45.650002,44.939999,45.080002,45.080002,238700
2021-07-09,44.349998,45.160000,44.330002,45.090000,45.090000,323900
2021-07-12,45.119999,46.049999,45.110001,45.720001,45.720001,259900
2021-07-13,45.730000,46.560001,45.549999,45.599998,45.599998,333000
2021-07-14,45.360001,45.439999,44.849998,45.209999,45.209999,244100
2021-07-15,45.419998,45.650002,45.320000,45.549999,45.549999,168200
2021-07-16,46.049999,46.049999,45.189999,45.299999,45.299999,133600
2021-07-19,44.369999,44.369999,43.439999,43.599998,43.599998,182200
2021-07-20,43.770000,44.799999,43.549999,44.549999,44.549999,202700
2021-07-21,44.189999,44.650002,44.060001,44.570000,44.570000,94900
2021-07-22,45.279999,45.730000,44.779999,44.799999,44.799999,97400
2021-07-23,45.099998,45.330002,44.509998,45.310001,45.310001,157600
2021-07-26,44.849998,45.200001,44.730000,45.000000,45.000000,92900
2021-07-27,44.950001,45.000000,44.540001,44.930000,44.930000,89800
2021-07-28,45.380001,45.470001,44.900002,45.369999,45.369999,133600
2021-07-29,45.720001,46.160000,45.709999,45.889999,45.889999,105300
2021-07-30,44.830002,44.830002,43.939999,44.290001,44.290001,185100
2021-08-02,44.009998,44.310001,43.520000,43.660000,43.660000,205900
2021-08-03,44.470001,45.230000,44.060001,45.189999,45.189999,281800
2021-08-04,45.680000,46.119999,45.680000,45.730000,45.730000,354500
2021-08-05,45.900002,46.049999,45.730000,46.000000,46.000000,239800
2021-08-06,45.990002,46.139999,45.740002,46.080002,46.080002,139200
2021-08-09,46.360001,46.570000,46.119999,46.369999,46.369999,103900
2021-08-10,45.990002,45.990002,45.360001,45.740002,45.740002,155600
2021-08-11,46.130001,46.459999,46.070000,46.320000,46.320000,141600
2021-08-12,45.900002,46.090000,45.490002,45.759998,45.759998,187300
2021-08-13,45.669998,45.669998,45.360001,45.610001,45.610001,94200
2021-08-16,45.580002,45.580002,45.000000,45.480000,45.480000,76200
2021-08-17,44.910000,44.970001,44.509998,44.720001,44.720001,128100
2021-08-18,45.009998,45.299999,44.580002,44.580002,44.580002,82900
2021-08-19,43.580002,43.900002,43.169998,43.799999,43.799999,194300
2021-08-20,43.220001,43.500000,43.150002,43.290001,43.290001,110600
2021-08-23,43.689999,44.060001,43.639999,43.959999,43.959999,105200
2021-08-24,44.770000,45.290001,44.770000,45.000000,45.000000,107900
2021-08-25,45.860001,46.130001,45.580002,45.900002,45.900002,111500
2021-08-26,46.070000,46.110001,45.730000,45.759998,45.759998,111300
2021-08-27,46.279999,47.169998,46.279999,47.169998,47.169998,122400
2021-08-30,44.939999,45.240002,44.759998,44.799999,44.799999,117700
2021-08-31,45.439999,45.689999,45.299999,45.509998,45.509998,120900
2021-09-01,46.009998,46.070000,45.689999,45.889999,45.889999,101500
2021-09-02,45.730000,45.950001,45.720001,45.880001,45.880001,110800
2021-09-03,45.700001,46.020000,45.529999,45.869999,45.869999,94300
2021-09-07,44.570000,44.689999,44.250000,44.389999,44.389999,233000
2021-09-08,44.950001,45.169998,44.680000,44.880001,44.880001,113200
2021-09-09,44.680000,44.910000,44.570000,44.770000,44.770000,288800
2021-09-10,44.540001,44.540001,43.950001,44.020000,44.020000,159200
2021-09-13,44.369999,44.650002,44.200001,44.520000,44.520000,197000
2021-09-14,44.820000,45.000000,44.480000,44.590000,44.590000,149800
2021-09-15,45.009998,45.660000,44.939999,45.660000,45.660000,196200
2021-09-16,44.709999,44.709999,44.299999,44.430000,44.430000,224700
2021-09-17,43.990002,44.310001,43.570000,43.580002,43.580002,216700
2021-09-20,43.080002,43.200001,42.290001,42.919998,42.919998,307600
2021-09-21,43.330002,43.330002,42.669998,42.759998,42.759998,82700
2021-09-22,43.029999,43.540001,42.910000,43.150002,43.150002,117900
2021-09-23,43.790001,44.200001,43.730000,44.180000,44.180000,262000
2021-09-24,44.720001,44.990002,44.470001,44.900002,44.900002,259900
2021-09-27,45.040001,45.520000,44.840000,45.490002,45.490002,276400
2021-09-28,45.820000,46.830002,45.820000,46.230000,46.230000,585700
2021-09-29,46.709999,46.900002,46.299999,46.400002,46.400002,240600
2021-09-30,46.639999,46.959999,46.230000,46.410000,46.410000,321300
2021-10-01,46.580002,47.169998,46.580002,46.990002,46.990002,185700
2021-10-04,47.060001,47.119999,46.470001,46.830002,46.830002,240600
2021-10-05,46.619999,46.889999,46.180000,46.799999,46.799999,165800
2021-10-06,45.419998,45.790001,45.130001,45.790001,45.790001,142500
2021-10-07,46.619999,47.220001,46.570000,46.970001,46.970001,245100
2021-10-08,46.500000,46.590000,45.889999,45.959999,45.959999,145300
2021-10-11,46.000000,46.200001,45.720001,45.810001,45.810001,115600
2021-10-12,45.740002,45.740002,45.439999,45.480000,45.480000,100800
2021-10-13,45.369999,45.369999,44.750000,45.160000,45.160000,85900
2021-10-14,45.740002,46.180000,45.599998,46.130001,46.130001,146900
2021-10-15,46.990002,47.700001,46.990002,47.419998,47.419998,242300
2021-10-18,47.200001,47.599998,47.110001,47.299999,47.299999,288200
2021-10-19,47.259998,47.419998,47.080002,47.349998,47.349998,81000
2021-10-20,47.820000,48.139999,47.730000,47.919998,47.919998,121200
2021-10-21,48.669998,48.889999,48.270000,48.419998,48.419998,106400
2021-10-22,48.889999,49.369999,48.750000,48.869999,48.869999,159100
2021-10-25,50.130001,50.200001,49.779999,50.169998,50.169998,181600
2021-10-26,50.450001,50.450001,50.009998,50.169998,50.169998,122600
2021-10-27,49.919998,49.919998,49.310001,49.389999,49.389999,103200
2021-10-28,49.290001,49.529999,49.270000,49.439999,49.439999,88500
2021-10-29,48.340000,48.410000,47.919998,48.070000,48.070000,130300
2021-11-01,48.380001,48.990002,48.299999,48.810001,48.810001,203500
2021-11-02,48.599998,48.599998,48.080002,48.160000,48.160000,159800
2021-11-03,47.320000,47.320000,46.910000,47.200001,47.200001,255400
2021-11-04,47.320000,47.320000,46.580002,46.779999,46.779999,145900
2021-11-05,46.680000,46.730000,46.230000,46.320000,46.320000,126700
2021-11-08,46.529999,47.000000,46.520000,47.000000,47.000000,84600
2021-11-09,47.240002,47.380001,46.869999,46.910000,46.910000,147800
2021-11-10,47.000000,47.139999,46.509998,46.709999,46.709999,130900
2021-11-11,47.000000,47.189999,46.910000,47.080002,47.080002,126200
2021-11-12,47.570000,47.680000,47.310001,47.500000,47.500000,196400
2021-11-15,47.599998,47.680000,47.430000,47.500000,47.500000,282700
2021-11-16,48.020000,48.209999,47.790001,48.209999,48.209999,366400
2021-11-17,47.430000,47.590000,46.720001,47.160000,47.160000,259000
2021-11-18,46.980000,47.009998,46.669998,47.000000,47.000000,89700
2021-11-19,47.259998,47.340000,47.020000,47.320000,47.320000,104700
2021-11-22,47.630001,47.910000,47.480000,47.480000,47.480000,137500
2021-11-23,47.650002,48.299999,47.650002,48.279999,48.279999,107300
2021-11-24,48.299999,48.430000,48.189999,48.290001,48.290001,75000
